UID          PID    PPID  C STIME TTY          TIME CMD
student     1470    1461  1 15:50 tty2     00:00:28 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
student     1479    1412  0 15:50 ?        00:00:00 /usr/libexec/goa-identity-service
student     1484    1412  0 15:50 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
student     1488    1412  0 15:50 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
student     1493    1412  0 15:50 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
student     1512    1461  0 15:50 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
student     1584       1  0 15:50 ?        00:00:00 /usr/bin/VBoxClient --clipboard
student     1592       1  0 15:50 ?        00:00:00 /usr/bin/VBoxClient --seamless
student     1596       1  0 15:50 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
student     1597    1584  0 15:50 ?        00:00:00 /usr/bin/VBoxClient --clipboard
student     1603    1592  0 15:50 ?        00:00:00 /usr/bin/VBoxClient --seamless
student     1604    1596  0 15:50 ?        00:00:06 /usr/bin/VBoxClient --draganddrop
student     1616       1  0 15:50 ?        00:00:00 /usr/bin/VBoxClient --vmsvga-session
student     1617    1616  0 15:50 ?        00:00:00 /usr/bin/VBoxClient --vmsvga-session
student     1622    1512  0 15:50 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
student     1639    1412  0 15:50 ?        00:00:00 /usr/libexec/gvfsd-metadata
student     1645    1412  0 15:50 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
student     1651    1645  0 15:50 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
student     1659    1412  0 15:50 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
student     1666    1412  0 15:50 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
student     1680    1412  2 15:50 ?        00:00:36 /usr/bin/gnome-shell
student     1701    1680  0 15:50 ?        00:00:00 ibus-daemon --panel disable --xim
student     1705    1701  0 15:50 ?        00:00:00 /usr/libexec/ibus-dconf
student     1706    1701  0 15:50 ?        00:00:00 /usr/libexec/ibus-extension-gtk3
student     1709    1412  0 15:50 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
student     1712    1412  0 15:50 ?        00:00:00 /usr/libexec/ibus-portal
student     1723    1412  0 15:50 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
student     1726    1412  0 15:50 ?        00:00:00 /usr/libexec/xdg-permission-store
student     1732    1412  0 15:50 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
student     1740    1412  0 15:50 ?        00:00:00 /usr/libexec/evolution-source-registry
student     1748    1412  0 15:50 ?        00:00:00 /usr/libexec/evolution-calendar-factory
student     1756    1412  0 15:50 ?        00:00:00 /usr/libexec/dconf-service
student     1761    1412  0 15:50 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
