<2022-11-01T22:57:27.475Z, malicious_prog, write, stdout>
<2022-11-01T22:57:27.475Z, malicious_prog, openat, /usr/include/linux/sonet.h>
<2022-11-01T22:57:27.475Z, malicious_prog, openat, outputs//sonet.h1667343447477>
<2022-11-01T22:57:27.475Z, malicious_prog, read, /usr/include/linux/sonet.h>
<2022-11-01T22:57:27.475Z, malicious_prog, writev, outputs//sonet.h1667343447477>
<2022-11-01T22:57:27.475Z, malicious_prog, read, /usr/include/linux/sonet.h>
<2022-11-01T22:57:27.571Z, malicious_prog, write, stdout>
<2022-11-01T22:57:27.575Z, malicious_prog, openat, /usr/include/linux/rio_mport_cdev.h>
<2022-11-01T22:57:27.575Z, malicious_prog, openat, outputs//rio_mport_cdev.h1667343447578>
<2022-11-01T22:57:27.575Z, malicious_prog, read, /usr/include/linux/rio_mport_cdev.h>
<2022-11-01T22:57:27.575Z, malicious_prog, writev, outputs//rio_mport_cdev.h1667343447578>
<2022-11-01T22:57:27.575Z, malicious_prog, read, /usr/include/linux/rio_mport_cdev.h>
<2022-11-01T22:57:27.575Z, malicious_prog, writev, outputs//rio_mport_cdev.h1667343447578>
<2022-11-01T22:57:27.575Z, malicious_prog, read, /usr/include/linux/rio_mport_cdev.h>
<2022-11-01T22:57:27.675Z, malicious_prog, write, stdout>
<2022-11-01T22:57:27.675Z, malicious_prog, openat, /usr/include/linux/suspend_ioctls.h>
<2022-11-01T22:57:27.675Z, malicious_prog, openat, outputs//suspend_ioctls.h1667343447679>
<2022-11-01T22:57:27.675Z, malicious_prog, read, /usr/include/linux/suspend_ioctls.h>
<2022-11-01T22:57:27.675Z, malicious_prog, writev, outputs//suspend_ioctls.h1667343447679>
<2022-11-01T22:57:27.675Z, malicious_prog, read, /usr/include/linux/suspend_ioctls.h>
<2022-11-01T22:57:27.779Z, malicious_prog, write, stdout>
<2022-11-01T22:57:27.779Z, malicious_prog, openat, /usr/include/linux/virtio_config.h>
<2022-11-01T22:57:27.779Z, malicious_prog, openat, outputs//virtio_config.h1667343447780>
<2022-11-01T22:57:27.779Z, malicious_prog, read, /usr/include/linux/virtio_config.h>
<2022-11-01T22:57:27.779Z, malicious_prog, writev, outputs//virtio_config.h1667343447780>
<2022-11-01T22:57:27.779Z, malicious_prog, read, /usr/include/linux/virtio_config.h>
<2022-11-01T22:57:27.875Z, malicious_prog, write, stdout>
<2022-11-01T22:57:27.875Z, malicious_prog, openat, /usr/include/linux/vfio_ccw.h>
<2022-11-01T22:57:27.875Z, malicious_prog, openat, outputs//vfio_ccw.h1667343447881>
<2022-11-01T22:57:27.875Z, malicious_prog, read, /usr/include/linux/vfio_ccw.h>
<2022-11-01T22:57:27.875Z, malicious_prog, read, /usr/include/linux/vfio_ccw.h>
<2022-11-01T22:57:27.875Z, malicious_prog, write, outputs//vfio_ccw.h1667343447881>
<2022-11-01T22:57:27.975Z, malicious_prog, write, stdout>
